case,z3,pz3
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_1.smt2,27,173
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_10.smt2,66,7588
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_100.smt2,600000,29277
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_11.smt2,93,4867
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_12.smt2,169,4851
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_13.smt2,340,7666
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_15.smt2,1527,4877
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_16.smt2,3514,2794
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_17.smt2,7077,5884
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_18.smt2,17406,6203
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_19.smt2,39054,4949
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_2.smt2,28,1297
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_20.smt2,105957,5451
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_21.smt2,317292,6680
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_22.smt2,600000,5952
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_23.smt2,600000,5828
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_24.smt2,600000,2841
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_25.smt2,600000,7941
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_26.smt2,600000,6585
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_27.smt2,600000,5849
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_28.smt2,600000,5148
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_29.smt2,600000,7109
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_3.smt2,28,1738
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_30.smt2,600000,5811
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_31.smt2,600000,6099
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_32.smt2,600000,3075
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_33.smt2,600000,7767
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_34.smt2,600000,6987
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_35.smt2,600000,5588
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_36.smt2,600000,5579
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_37.smt2,600000,6902
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_38.smt2,600000,6127
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_39.smt2,600000,5051
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_4.smt2,29,1811
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_40.smt2,600000,2618
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_41.smt2,600000,7587
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_42.smt2,600000,6808
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_43.smt2,600000,5629
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_44.smt2,600000,5105
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_45.smt2,600000,7036
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_46.smt2,600000,6093
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_47.smt2,600000,5466
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_48.smt2,600000,4137
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_49.smt2,600000,7358
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_5.smt2,29,2743
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_50.smt2,600000,6536
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_51.smt2,600000,6263
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_52.smt2,600000,5733
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_53.smt2,600000,7853
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_55.smt2,600000,5064
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_56.smt2,600000,3529
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_57.smt2,600000,7263
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_58.smt2,600000,6781
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_59.smt2,600000,6979
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_6.smt2,42,3070
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_60.smt2,600000,5614
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_61.smt2,600000,8607
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_62.smt2,600000,8030
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_63.smt2,600000,6168
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_64.smt2,600000,4133
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_65.smt2,600000,6480
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_66.smt2,600000,6650
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_67.smt2,600000,6448
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_68.smt2,600000,6179
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_69.smt2,600000,9567
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_7.smt2,41,3705
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_70.smt2,600000,9136
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_71.smt2,600000,6131
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_72.smt2,600000,4742
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_73.smt2,600000,10746
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_74.smt2,600000,10999
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_75.smt2,600000,9141
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_76.smt2,600000,7645
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_77.smt2,600000,10274
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_78.smt2,600000,9135
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_79.smt2,600000,7328
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_8.smt2,41,3056
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_81.smt2,600000,13481
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_82.smt2,600000,10173
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_83.smt2,600000,8937
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_84.smt2,600000,9207
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_85.smt2,600000,15975
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_86.smt2,600000,13437
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_87.smt2,600000,12664
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_88.smt2,600000,7366
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_89.smt2,600000,19191
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_9.smt2,43,4633
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_90.smt2,600000,16365
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_91.smt2,600000,14797
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_92.smt2,600000,13811
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_93.smt2,600000,25380
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_94.smt2,600000,18405
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_95.smt2,600000,20080
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_96.smt2,600000,13338
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_97.smt2,600000,38588
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_98.smt2,600000,31436
/home/tsmart/dev/chengxi/PZ3/bm/kmtree/kmtree_99.smt2,600000,25519
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond1.smt2,26,165
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond10.smt2,61,3584
