case,equality,constant,z3,pz3,ratio
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_1.smt2,0.677796327,0.003150502,6501,625,2.6
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_2.smt2,0.984974958,0.041943726,1918,1964,0.244
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_3.smt2,0.379521425,0.00129705,725,826,0.219
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_4.smt2,0.850862549,0.076651102,9229,1953,1.181
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_5.smt2,0.022259321,0.000579532,98,226,0.108
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_6.smt2,0.900946021,0.002637081,1903,1530,0.311
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_7.smt2,0.120200334,0.016450189,1216,2902,0.105
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_8.smt2,0.149137451,0.070381204,575,2352,0.061
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_9.smt2,0.76293823,0.009133847,3606,6097,0.148
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_10.smt2,0.585976628,0.449625644,21437,1218,4.4
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_11.smt2,0.861992209,0.001450649,3117,4360,0.179
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_12.smt2,0.313299944,0.092971937,19355,3139,1.541
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_13.smt2,0.113522538,0.093050481,545,2209,0.062
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_14.smt2,0.62493044,0.024392542,6815,1922,0.886
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_15.smt2,0.217584864,0.000591123,345,649,0.133
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_16.smt2,0.890929327,0.295467909,11709,1528,1.916
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_17.smt2,0.962715637,0.112673629,2457,1644,0.374
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_18.smt2,0.311074012,0.093483332,5047,1785,0.707
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_19.smt2,0.872565387,0.383534406,8773,1506,1.456
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_20.smt2,0.319421258,0.249546678,5326,1755,0.759
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_21.smt2,0.281580412,0.117470601,3033,3711,0.204
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_22.smt2,0.622704508,0.004818232,7075,5004,0.353
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_23.smt2,0.602671119,0.458020346,6659,1302,1.279
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_24.smt2,0.258208125,0.166848673,4768,3478,0.343
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_25.smt2,0.853088481,0.12094279,10466,1472,1.778
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_26.smt2,0.740678909,0.004065425,4782,536,2.23
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_27.smt2,0.264329438,0.020947388,4406,5108,0.216
/home/tsmart/dev/chengxi/PZ3/eval/gen/problem_28.smt2,0.230383973,0.084624583,2811,5029,0.14
