case,cvc,pcvc
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond2.smt2,6,13
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond45.smt2,15,42
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond29.smt2,12,26
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond32.smt2,12,36
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond55.smt2,16,44
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond70.smt2,22,56
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond84.smt2,24,58
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond72.smt2,23,61
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond77.smt2,21,49
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond61.smt2,22,54
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond100.smt2,28,63
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond91.smt2,27,58
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond1.smt2,5,11
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond10.smt2,9,12
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond59.smt2,16,45
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond13.smt2,9,15
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond96.smt2,29,53
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond62.smt2,18,45
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond3.smt2,6,14
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond97.smt2,27,63
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond49.smt2,17,34
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond9.smt2,6,15
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond71.smt2,25,39
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond43.smt2,17,31
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond60.smt2,19,47
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond36.smt2,12,36
/home/cxcfan/dev/testbench/smt/bm/QF_UF/eq_diamond/eq_diamond19.smt2,9,16
