case,equality,constant
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/TypeSafe/z3.1184163.smt2,0.25,0.3333333
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/TypeSafe/z3.1184131.smt2,0.25,0.3333333
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/TypeSafe/z3.1184147.smt2,0.25,0.3333333
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ015_size6.smt2,0.3663603,0.0000753
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ015_size4.smt2,0.3862552,0.0004226
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size6.smt2,0.4356197,0.000404
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ027_size10.smt2,0.3305996,0.0010806
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ027_size9.smt2,0.332544,0.0013133
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ048_size7.smt2,0.3372772,0.0000311
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ031_size9.smt2,0.332544,0.0013133
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ023_size4.smt2,0.4323012,0.0084072
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ033_size5.smt2,0.3427175,0.0000951
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ046_size5.smt2,0.3746679,0.0001689
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ016_size5.smt2,0.3339512,0.0000309
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ023_size7.smt2,0.3953598,0.0026951
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ023_size5.smt2,0.4147115,0.0052873
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ031_size10.smt2,0.3305996,0.0010806
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size4.smt2,0.3699461,0.0101695
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ015_size5.smt2,0.3744933,0.0001649
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ041_size8.smt2,0.3905185,0.0018207
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size7.smt2,0.4179936,0.0002287
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ027_size8.smt2,0.335166,0.0016378
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ032_size5.smt2,0.4205882,0.008194
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ016_size7.smt2,0.3335379,0.0000056
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ041_size7.smt2,0.3988666,0.0024389
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ048_size8.smt2,0.3362892,0.0000184
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ048_size9.smt2,0.3356307,0.0000116
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ023_size6.smt2,0.4033488,0.0036706
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size5.smt2,0.3600883,0.0065897
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size5.smt2,0.46139,0.00078
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ046_size3.smt2,0.4062333,0.0014503
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ041_size9.smt2,0.3840488,0.00143
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ041_size6.smt2,0.4100475,0.0034134
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ046_size6.smt2,0.3664595,0.0000767
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ016_size6.smt2,0.3336714,0.0000122
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size3.smt2,0.3900316,0.0179856
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ004_size4.smt2,0.5016722,0.0016978
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ033_size3.smt2,0.3599685,0.0006325
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ031_size7.smt2,0.3387492,0.0020899
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ032_size4.smt2,0.444186,0.0130885
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ033_size6.smt2,0.3397548,0.0000475
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ032_size6.smt2,0.4052073,0.0056239
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ027_size11.smt2,0.3291438,0.000897
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ016_size8.smt2,0.3334663,0.0000028
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ046_size4.smt2,0.3866059,0.0004372
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ048_size6.smt2,0.3388546,0.0000555
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ033_size4.smt2,0.3481777,0.0002195
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ032_size3.smt2,0.4848993,0.023823
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ031_size8.smt2,0.335166,0.0016378
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ006_size6.smt2,0.3543277,0.0046929
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/NEQ/NEQ015_size3.smt2,0.4053365,0.0013765
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond96.smt2,0.4993412,0.1721366
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond48.smt2,0.4986667,0.1662125
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond71.smt2,0.4991055,0.1695533
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond100.smt2,0.4993679,0.1727681
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond79.smt2,0.4991974,0.1707516
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond56.smt2,0.498861,0.1674419
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond41.smt2,0.4984326,0.1637239
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond43.smt2,0.4985075,0.1648855
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond21.smt2,0.4968553,0.1525974
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond87.smt2,0.4992722,0.1717246
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond16.smt2,0.4957983,0.1478261
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond65.smt2,0.4990215,0.1686627
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond50.smt2,0.4987212,0.1660131
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond36.smt2,0.4982079,0.1617647
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond77.smt2,0.4991763,0.170302
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond90.smt2,0.4992968,0.1716738
/home/tsmart/dev/chengxi/PZ3/bm/QF_UF/eq_diamond/eq_diamond33.smt2,0.4980392,0.1609658
